,Address,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
409,"640 Forest Hill Dr, Coppell, TX 75019",2.5,4.0,435000.0,2078.0,75019
410,"5008 Seville Ln, Flower Mound, TX 75028",4.0,4.0,599900.0,3904.0,75028
411,"11379 Bull Head Ln, Flower Mound, TX 76262",3.0,4.0,469900.0,2707.0,76262
412,"1913 Hamilton Dr, Flower Mound, TX 75028",2.0,3.0,349900.0,1904.0,75028
413,"2324 Grandview Dr, Flower Mound, TX 75028",3.0,4.0,334900.0,1790.0,75028
414,"5920 Flint Ridge Dr, Flower Mound, TX 75028",3.0,5.0,435000.0,3351.0,75028
415,"3117 Forest Meadow Dr, Flower Mound, TX 75028",2.5,3.0,395000.0,2466.0,75028
416,"5224 Timber Park Dr, Flower Mound, TX 75028",3.5,5.0,495000.0,3065.0,75028
417,"2012 Breaker Ln, Flower Mound, TX 75022",4.0,4.0,968000.0,4524.0,75022
418,"3608 Veronica Dr, Flower Mound, TX 75022",3.5,4.0,550000.0,3372.0,75022
419,"3828 Appleton Ln, Flower Mound, TX 75022",2.5,4.0,400000.0,2305.0,75022
420,"8601 Riviera Ct, Flower Mound, TX 75022",5.5,4.0,997500.0,5500.0,75022
421,"716 Balmoral Castle Ct, Flower Mound, TX 75022",3.5,4.0,499900.0,3586.0,75022
422,"3216 Springwood Cir, Flower Mound, TX 75028",3.5,4.0,510000.0,2805.0,75028
423,"3605 Pearl Ln, Flower Mound, TX 75022",3.5,4.0,643900.0,4194.0,75022
424,"2508 Blue Ridge Trl, Flower Mound, TX 75028",2.5,4.0,339999.0,3025.0,75028
425,"3905 Sweetgum Ct, Flower Mound, TX 75028",3.0,5.0,375000.0,2474.0,75028
426,"2113 Newport Dr, Flower Mound, TX 75028",2.5,4.0,337000.0,2499.0,75028
427,"2729 Princeton Dr, Flower Mound, TX 75022",2.5,4.0,457900.0,2913.0,75022
428,"1304 Cayenne Dr, Flower Mound, TX 75028",3.5,5.0,539900.0,3311.0,75028
429,"3804 Appleton Ln, Flower Mound, TX 75022",3.5,5.0,429900.0,3158.0,75022
430,"344 Loma Alta Dr, Flower Mound, TX 75022",2.5,3.0,519900.0,2308.0,75022
431,"4917 Joshua Dr, Flower Mound, TX 75028",4.0,5.0,799000.0,4402.0,75028
432,"2708 Meadow Wood Dr, Flower Mound, TX 75022",3.5,4.0,520000.0,3080.0,75022
433,"4020 Abbey Ln, Flower Mound, TX 75028",2.0,3.0,240000.0,1748.0,75028
434,"5701 Northcrest Dr, Flower Mound, TX 75028",2.0,4.0,400000.0,2450.0,75028
435,"6359 Whiskerbrush Rd, Flower Mound, TX 76226",3.5,4.0,520000.0,3405.0,76226
436,"4716 Hackberry St, Flower Mound, TX 75028",2.0,2.0,15000.0,1000.0,75028
437,"1040 Sweet Grass Trl, Flower Mound, TX 75028",2.0,3.0,320000.0,1668.0,75028
438,"4025 Bordeaux Cir, Flower Mound, TX 75022",3.0,4.0,599000.0,2747.0,75022
439,"3805 Fairfax Way, Flower Mound, TX 75028",4.0,4.0,640990.0,3341.0,75028
440,"2404 Conroe Ct, Flower Mound, TX 75028",3.0,5.0,450000.0,3050.0,75028
441,"2204 Sullenberger Way, Flower Mound, TX 75028",5.5,5.0,1099995.0,5032.0,75028
442,"4105 Liberty Ct, Flower Mound, TX 75028",3.5,4.0,550000.0,3283.0,75028
443,"4516 Delaina Dr, Flower Mound, TX 75022",2.0,4.0,390000.0,2354.0,75022
444,"6105 Garwood Cir, Flower Mound, TX 75028",3.5,4.0,625000.0,3274.0,75028
445,"1913 Heliconia Dr, Flower Mound, TX 75028",3.5,3.0,534990.0,2771.0,75028
446,"11200 Bull Head Ln, Flower Mound, TX 76262",3.0,4.0,585000.0,3594.0,76262
447,"11351 Misty Ridge Dr, Flower Mound, TX 76262",4.5,4.0,524990.0,2926.0,76262
448,"813 Forest Lake Rd, Flower Mound, TX 75028",3.0,4.0,476590.0,2650.0,75028
449,"909 Hillside Ln, Flower Mound, TX 75028",2.0,3.0,300000.0,1797.0,75028
450,"1502 Saint Francis Ln, Flower Mound, TX 75028",2.0,3.0,459900.0,2263.0,75028
