Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"4521 Bayport Dr, Frisco, TX 75036",Frisco,2,3,365000,1885,75036
"6557 Scottsdale Way, Frisco, TX 75034",Frisco,2.5,4,347700,3045,75034
"1656 Princess Ln, Little Elm, TX 75036",Little Elm,2,3,290000,2040,75036
"1368 Troon Dr, Frisco, TX 75036",Frisco,2,2,310000,1533,75036
"9790 Sunset Dr, Frisco, TX 75033",Frisco,2,2,240000,1000,75033
"4961 Linda Ln, Frisco, TX 75033",Frisco,3.5,4,598500,3582,75033
"6349 Plum Creek Rd, Frisco, TX 75036",Frisco,3,4,620000,3261,75036
"998 Carrington Greens Dr, Frisco, TX 75036",Frisco,2,2,355000,1614,75036
"8548 Dynasty Ln, Frisco, TX 75034",Frisco,2.5,2,418990,1840,75034
"6823 Gatewick Dr, Frisco, TX 75035",Frisco,4,5,510000,3261,75035
"4621 Steel St, Dallas, TX 75219",Dallas,3.5,3,499900,2102,75219
"823 Clermont Ave, Dallas, TX 75223",Dallas,3.5,3,999000,3228,75223
"11622 Lochwood Blvd, Dallas, TX 75218",Dallas,3,3,439900,1725,75218
"14151 Montfort Dr #202, Dallas, TX 75254",Dallas,2,2,229000,1336,75254
"2106 Hillside Dr, Rowlett, TX 75088",Rowlett,2.5,4,394900,3029,75088
"4607 Stigall Dr, Dallas, TX 75209",Dallas,2,3,340000,1183,75209
"1402 Rowan Ave, Dallas, TX 75223",Dallas,2,2,150000,1000,75223
"6217 Alpha Rd, Dallas, TX 75240",Dallas,3,4,665000,2920,75240
"7302 Brentfield Dr, Dallas, TX 75248",Dallas,3,4,515000,2212,75248
"4225 Mckinney Ave #1, Dallas, TX 75205",Dallas,2.5,2,449000,2148,75205
"2950 Mckinney Ave #218, Dallas, TX 75204",Dallas,1,1,255000,806,75204
"4330 Middleton Rd, Dallas, TX 75229",Dallas,5.5,4,2350000,5661,75229
"1393 Arch Pl, Dallas, TX 75215",Dallas,4,3,569000,2471,75215
"3717 Prescott Ave, Dallas, TX 75219",Dallas,2.5,2,599900,1968,75219
"8531 Coppertowne Ln, Dallas, TX 75243",Dallas,2.5,3,289900,1958,75243
"5611 Meadowick Ln, Dallas, TX 75227",Dallas,2,2,289000,1400,75227
"7109 Alpha Rd, Dallas, TX 75240",Dallas,3.5,4,650000,2945,75240
"3102 Ross Ave #7, Dallas, TX 75204",Dallas,3,3,655000,2422,75204
"6556 Ridgemont Dr, Dallas, TX 75214",Dallas,2.5,3,499000,1952,75214
